chembl_id,smiles,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_molformula,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,np_likeness_score,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb
CHEMBL236546,CN(CCc1ccccn1)CCn1c(=O)c2c(n(Cc3c(F)cccc3F)c1=O)CCN(CCc1c[nH]c3ccccc13)C2,3.99,5,1.70,4.11,,9.11,C34H36F2N6O2,598.70,7,8,1,1,44,BASE,598.70,598.2868,-1.37,1,1,79.16,0.25,N,11
CHEMBL235520,Cc1ccc(CN2CCc3c(c(=O)n(CCN(C)CCc4ccccn4)c(=O)n3Cc3c(F)cccc3F)C2)cc1,3.77,4,2.82,4.24,,8.32,C32H35F2N5O2,559.66,7,7,0,0,41,NEUTRAL,559.66,559.2759,-1.61,1,1,63.37,0.30,N,10
CHEMBL237834,CN(CCc1ccccn1)CCn1c(=O)c2c(n(Cc3c(F)cccc3F)c1=O)CCN(Cc1ccc(-n3ccnc3)cc1)C2,3.65,5,2.06,3.49,,8.32,C34H35F2N7O2,611.70,9,9,0,0,45,NEUTRAL,611.70,611.2820,-1.86,1,1,81.19,0.23,N,11
CHEMBL237640,COc1ccccc1CN1CCc2c(c(=O)n(CCN(C)CCc3ccccn3)c(=O)n2Cc2c(F)cccc2F)C1,3.47,4,2.46,3.57,,8.17,C32H35F2N5O3,575.66,8,8,0,0,42,NEUTRAL,575.66,575.2708,-1.54,1,1,72.60,0.27,N,11
CHEMBL242399,CCc1ccc(CN2CCc3c(c(=O)n(CCN(C)CCc4ccccn4)c(=O)n3Cc3c(F)cccc3F)C2)cc1,4.03,4,3.28,4.69,,8.31,C33H37F2N5O2,573.69,7,7,0,0,42,NEUTRAL,573.69,573.2915,-1.57,1,1,63.37,0.27,N,11
CHEMBL235050,CN(CCc1ccccn1)CCn1c(=O)c2c(n(Cc3c(F)cccc3F)c1=O)CCN(Cc1ccc(C(C)(C)C)cc1)C2,4.76,4,3.88,5.27,,8.30,C35H41F2N5O2,601.74,7,7,0,0,44,NEUTRAL,601.74,601.3228,-1.58,1,1,63.37,0.26,N,10
CHEMBL236127,CN(CCc1ccccn1)CCn1c(=O)c2c(n(Cc3c(F)cccc3F)c1=O)CCN(Cc1ccc(Cl)cc1)C2,4.12,4,3.38,4.33,,8.12,C31H32ClF2N5O2,580.08,7,7,0,0,41,NEUTRAL,580.08,579.2213,-1.68,1,1,63.37,0.28,N,10
CHEMBL235051,COc1ccc(CN2CCc3c(c(=O)n(CCN(C)CCc4ccccn4)c(=O)n3Cc3c(F)cccc3F)C2)cc1,3.47,4,2.38,3.57,,8.20,C32H35F2N5O3,575.66,8,8,0,0,42,NEUTRAL,575.66,575.2708,-1.51,1,1,72.60,0.27,N,11
CHEMBL235269,CSc1ccc(CN2CCc3c(c(=O)n(CCN(C)CCc4ccccn4)c(=O)n3Cc3c(F)cccc3F)C2)cc1,4.19,4,3.25,4.36,,8.17,C32H35F2N5O2S,591.73,8,7,0,0,42,NEUTRAL,591.73,591.2480,-1.70,1,1,63.37,0.24,N,11
CHEMBL392602,CN(CCc1ccccn1)CCn1c(=O)c2c(n(Cc3c(F)cccc3F)c1=O)CCN(Cc1ccc(C(F)(F)F)cc1)C2,4.48,4,3.38,4.61,,8.22,C32H32F5N5O2,613.63,7,7,0,0,44,NEUTRAL,613.63,613.2476,-1.61,1,1,63.37,0.25,N,10
CHEMBL392603,CN(CCc1ccccn1)CCn1c(=O)c2c(n(Cc3c(F)cccc3F)c1=O)CCN(Cc1ccc(S(C)(=O)=O)cc1)C2,2.87,4,1.81,2.57,,8.07,C32H35F2N5O4S,623.73,9,9,0,0,44,NEUTRAL,623.73,623.2378,-1.69,1,1,97.51,0.25,N,11
CHEMBL16745,CCSc1ccc(CN2CCc3c(c(=O)n(CCN(C)CCc4ccccn4)c(=O)n3Cc3c(F)cccc3F)C2)cc1,4.58,4,3.50,4.61,,8.17,C33H37F2N5O2S,605.76,8,7,0,0,43,NEUTRAL,605.76,605.2636,-1.75,1,1,63.37,0.22,N,12
CHEMBL236331,CN(CCc1ccccn1)CCn1c(=O)c2c(n(Cc3c(F)cccc3F)c1=O)CCN(Cc1cccc(Cl)c1)C2,4.12,4,3.37,4.33,,8.12,C31H32ClF2N5O2,580.08,7,7,0,0,41,NEUTRAL,580.08,579.2213,-1.79,1,1,63.37,0.28,N,10
CHEMBL236332,Cc1ccccc1CN1CCc2c(c(=O)n(CCN(C)CCc3ccccn3)c(=O)n2Cc2c(F)cccc2F)C1,3.77,4,2.61,4.24,,8.45,C32H35F2N5O2,559.66,7,7,0,0,41,NEUTRAL,559.66,559.2759,-1.63,1,1,63.37,0.30,N,10
CHEMBL392604,CN(CCc1ccccn1)CCn1c(=O)c2c(n(Cc3c(F)cccc3F)c1=O)CCN(Cc1ccc(Cl)c(Cl)c1)C2,4.77,4,4.13,4.94,,8.08,C31H31Cl2F2N5O2,614.52,7,7,0,0,42,NEUTRAL,614.52,613.1823,-1.74,1,1,63.37,0.26,N,10
CHEMBL392605,Cc1cc(Cl)ccc1CN1CCc2c(c(=O)n(CCN(C)CCc3ccccn3)c(=O)n2Cc2c(F)cccc2F)C1,4.43,4,3.78,4.85,,8.16,C32H34ClF2N5O2,594.11,7,7,0,0,42,NEUTRAL,594.11,593.2369,-1.76,1,1,63.37,0.27,N,10
CHEMBL235270,Cc1ccc(CN2CCc3c(c(=O)n(CCN(C)CCc4ccccn4)c(=O)n3Cc3c(F)cccc3F)C2)c(C)c1,4.08,4,3.13,4.75,,8.45,C33H37F2N5O2,573.69,7,7,0,0,42,NEUTRAL,573.69,573.2915,-1.67,1,1,63.37,0.29,N,10
CHEMBL262579,Cc1c(CN2CCc3c(c(=O)n(CCN(C)CCc4ccccn4)c(=O)n3Cc3c(F)cccc3F)C2)sc2ccccc12,4.99,5,3.40,5.25,,8.61,C34H35F2N5O2S,615.75,8,7,0,0,44,BASE,615.75,615.2480,-1.67,1,1,63.37,0.22,N,10
CHEMBL392606,CN(CCc1ccccn1)CCn1c(=O)c2c(n(Cc3c(F)cccc3F)c1=O)CCN(Cc1nc3ccccc3n1C)C2,3.35,5,2.52,3.31,,8.07,C33H35F2N7O2,599.69,9,9,0,0,44,NEUTRAL,599.69,599.2820,-1.77,1,1,81.19,0.25,N,10
